region,time,avg_temp,min_temp,min_temp_day,max_temp,max_temp_day,avg_min_temp,avg_max_temp,avg_sea_pres,sum_preci,day_max_preci,day_max_preci_day,avg_rel_hum,sun_total_time,sun_rate,sum_solar,avg_wind_sp,max_wind_direct,sum_small_eva,sum_big_eva
90,2014,13.2,-10.8,20141218,34.6,20140711,9.3,17.1,1015.8,1104,138,20140903,68.3,2386,53.57,,2.2,270,,
90,2015,12.6,-10.4,20150209,35.4,20150731,8.8,16.6,1015.7,1127.7,114.5,20150626,67.5,2413.6,55.43,,2.1,290,,
90,2016,12.8,-16.4,20160124,35.9,20160813,9,16.8,1015.5,1333.8,206.4,20160705,68.4,2205.3,49.74,,1.9,290,,
93,2016,,-12.1,20161216,29,20161003,,,,208.4,49,20161222,,475,50.02,845.97,,230,187.9,131.4
95,2014,11,-20.3,20141218,35.3,20140802,5.1,17.3,1016.7,684.4,81,20140725,67.8,2486.9,55.84,,1.7,200,1175,605.4
95,2015,11.1,-18.1,20150209,35.6,20150711,5.2,17.5,1016.6,1094.9,134,20150724,66.7,2625.1,58.95,,1.6,200,340.2,
95,2016,11.2,-20.6,20160120,34.3,20160812,5.5,17.4,1016.6,1180.9,154.2,20160705,67.3,2356.9,52.81,,1.5,200,,
98,2014,12.1,-15.6,20141218,36.3,20140802,6.9,18.7,1016.2,741.6,66.5,20140903,64.2,2418,54.29,,1.6,20,,
98,2015,12.4,-14.3,20150209,35.7,20150711,7.1,19,1016.1,988.5,105.8,20150725,62,2483.1,55.74,0,1.6,20,,
98,2016,12.6,-19.3,20160124,35.7,20160811,7.4,19.3,1016.1,1087.2,162.1,20160705,61,2412.1,54.04,,1.6,20,,
99,2014,11.4,-17,20141218,35.8,20140802,5.9,17.8,1016.7,642.7,63.8,20140725,67.6,2524.9,56.68,,1.6,50,,
99,2015,11.6,-16.4,20150209,35,20150711,5.9,18.2,1016.6,716.2,72.2,20150724,66,2623,58.89,,1.6,50,,
99,2016,11.7,-20,20160124,35,20160811,6.2,18.2,1016.7,1163.9,164.6,20160705,68.2,2555.7,57.25,,1.6,20,,
100,2014,7.7,-19.8,20141218,30.6,20140601,2.3,13,1016.6,1309.6,127,20140810,73.5,2382.3,53.49,4896.93,3.2,270,,
100,2015,8,-19.8,20150108,30,20150806,2.7,13.4,1016.4,981.9,201.5,20150825,72.5,2570.8,57.71,5091.41,3.3,270,,
100,2016,8.1,-23,20160124,32.4,20160812,2.9,13.5,1016.4,1184,152.5,20160828,72.9,2719.4,60.92,5111.95,3.4,270,520.8,364.1
101,2014,12.1,-20.1,20141218,35.1,20140720,7,18,1016.8,677.4,95.8,20140821,70.5,2301.5,51.66,4680.81,1.4,360,1161.3,606.4
101,2015,12.5,-15.7,20150209,35.9,20150807,7.3,18.4,1016.7,757.8,58.6,20150725,69.8,2404.6,53.99,4773.3,1.4,360,1117.4,650
101,2016,12.4,-20.1,20160124,35.7,20160812,7.4,18.2,1016.7,1333.8,241.6,20160705,70.8,2321.5,52.01,4693.11,1.3,360,1099.4,695.8
102,2014,11.6,-7.9,20140204,33.2,20140802,9.1,14.8,1016.7,391.9,91.5,20140725,69.1,2491.9,55.95,,4.2,290,,
102,2015,11.9,-11.5,20150208,30.2,20150807,9.4,15,1016.5,601.5,142.5,20150712,68.7,2490.9,55.92,,4.1,290,,
102,2016,11.9,-14.2,20160123,31.5,20160807,9.4,15,1016.5,734,52.7,20160716,72.2,2266.4,50.77,,3.8,290,,
104,2014,12.8,-13.2,20141218,35.5,20140721,8.6,17.1,1015.8,1371,106.5,20140429,60.3,2308.9,51.83,4663.63,2,180,1297.5,614.8
104,2015,13.1,-11.8,20150209,36.1,20150730,8.8,17.6,1015.6,1017.5,155,20150626,59.6,2418.5,55.18,4984.39,1.9,180,1457.3,685.1
104,2016,13.1,-15.2,20160124,34.9,20160814,9.1,17.4,1015.5,1204.2,97.9,20160716,67.1,2231.4,49.99,4676.96,1.7,160,1238.5,647.4
105,2014,13.8,-10,20141218,36.1,20140721,9.9,17.9,1015.9,1388.8,119,20140429,57.6,2198.3,49.35,4347.38,2.3,320,,
105,2015,13.9,-9.7,20150209,36.8,20150804,10,18.2,1015.8,1047.4,155.5,20150626,56.7,2453,55.07,5317.02,2.3,320,,
105,2016,13.8,-14.7,20160124,35.5,20160813,10,18.1,1015.7,1258.2,96,20160828,57.4,2409.4,53.98,5194.09,2.3,290,696.5,487.7
106,2014,13.3,-9,20141218,34.3,20140601,9.4,17.5,1015.8,1411.1,178,20140429,62.8,2230.5,50.09,,2.6,200,,
106,2015,13.8,-8.8,20150209,36.6,20150805,10.1,18,1015.6,911.2,130,20150626,63.3,2265.4,50.87,0,2.5,200,,
106,2016,14.2,-12,20160124,34.5,20160813,10.6,18,1015.5,924.5,122.9,20160704,67.1,2238.5,50.15,,2,230,,
108,2014,13.4,-13.2,20141218,35.8,20140802,9.3,18.3,1016.5,808.9,59.5,20140725,62.8,2432.3,54.61,4313.8,2.6,270,1001.8,580.3
108,2015,13.6,-13,20150209,36,20150711,9.3,18.7,1016.4,792.1,80,20150725,60,2580.3,57.93,4620.69,2.7,270,1027.6,616.2
108,2016,13.6,-18,20160124,36.6,20160821,9.4,18.5,1016.4,991.7,108.5,20160701,59.2,2497.8,55.95,4531.22,2.3,270,1183.3,721
112,2014,12.8,-11.4,20141218,35.3,20140802,9.6,16.5,1016.7,788.1,69.6,20140903,77.8,2559.9,57.49,4658.59,3.1,340,1159.9,586
112,2015,13.1,-11.2,20150208,33.1,20150807,9.9,17,1016.6,652,41.6,20150726,78.6,2671.4,59.98,4514.31,3.1,340,1320.9,720.4
112,2016,13.3,-16.3,20160124,34,20160821,10,17.1,1016.7,864.3,107,20160701,75.6,2594.7,58.14,4491.43,3.1,340,1239,719
114,2014,12.8,-14.7,20141218,35.9,20140725,7.7,18.6,1016.4,801.3,57.5,20140810,67,2420.1,54.35,5255.71,1.4,50,,
114,2015,13.6,-13.1,20150209,37,20150807,8.6,19.1,1016.2,903.8,89.5,20150724,65.6,2593.2,58.36,5095.94,1.4,250,,
114,2016,13.4,-15.9,20160124,35.7,20160820,8.8,18.5,1016.2,874.6,111.9,20160705,60.8,2093,47.18,4898.59,1.1,250,555,388.3
115,2014,12.8,-6.3,20141217,31.3,20140601,10.3,15.9,1015.7,1527.7,124.5,20140821,66.9,2095.8,47.07,,3.8,50,1361.5,569.2
115,2015,13.1,-6.9,20150209,33.7,20150731,10.6,16.2,1015.5,1393.5,115.5,20151107,68.2,2324.1,52.19,,3.8,230,1293.5,635.8
115,2016,13.2,-9.9,20160124,31.5,20160814,10.7,16.3,1015.6,2050.4,220.5,20160829,69.7,2121.3,47.53,419.19,4,200,1099,550.3
119,2014,13.1,-11.1,20141218,34.6,20140725,8.5,18.6,1016.7,1029.1,117.7,20140821,67.9,2372.7,53.29,4417.51,1.8,270,1100,631.2
119,2015,13.5,-11.7,20150209,35.3,20150807,8.8,19,1016.6,751.1,64.7,20150729,67.7,2450.3,55.03,4267.25,1.8,270,1200.2,635.8
119,2016,13.6,-16.2,20160124,36.5,20160821,9,19.1,1016.7,1023.4,104.2,20160701,67.7,2367.2,53.05,4230.58,1.8,290,1154.6,669.9
121,2014,11.9,-17.4,20141218,35.4,20140720,6.1,18.7,1016.7,876.5,79.5,20140924,68.1,2284.5,51.31,,1.4,270,,
121,2015,12.4,-15.3,20150209,35.6,20150610,6.7,18.9,1016.5,676,101.1,20150724,68.6,2238.3,50.27,,1.4,270,,
121,2016,12.4,-17.4,20160125,36.6,20160820,7.1,18.6,1016.5,940.4,147.3,20160704,68,2145.9,48.08,,1.1,270,,
127,2014,12.2,-14.2,20141218,34.9,20140725,6.9,18.4,1016.9,899.6,86.4,20141021,64.6,2353,52.85,,1.6,90,,
127,2015,12.7,-13.8,20150103,36.1,20150807,7.3,18.7,1016.7,731.8,71.7,20150724,63.3,2306.4,51.8,,1.6,90,,
127,2016,12.9,-17,20160125,36.7,20160820,7.5,19,1016.7,917.1,121.9,20160704,63.8,2035.9,45.62,,1.5,90,,
129,2014,12.3,-11.1,20140122,33.7,20140725,7.5,17.8,1017.2,1000.1,126.4,20140821,78.2,2334,52.42,4523.13,1.9,50,997.9,587.7
129,2015,12.7,-10.5,20150209,33.7,20150807,7.9,18.1,1017.1,815.9,47.4,20151107,78.1,2384.4,53.54,4183.63,2,50,1032.3,623.8
129,2016,12.9,-12.7,20160124,34.6,20160820,8.2,18.2,1017.2,922.1,137.5,20160729,81.3,2382.9,53.39,3957.2,2,50,988.1,594.9
130,2014,12.9,-9.5,20141218,34.1,20140722,8.6,17.3,1016,1282.6,180.4,20140429,68.4,2321.1,52.13,,2.7,270,,
130,2015,13.2,-10.4,20150209,35.5,20150804,8.8,17.7,1015.9,819.1,97.3,20150825,68.3,2476.3,55.61,,2.7,270,,
130,2016,13.2,-13.5,20160124,33.9,20160726,9.2,17.7,1015.9,1196.3,126.6,20160704,69.6,2364.4,52.98,,2.5,270,,
131,2014,13.9,-9.7,20140110,36,20140731,9.4,19.1,1016.6,913.7,100.5,20140924,62.8,2289.1,51.41,5087.12,1.4,250,1081.5,597.1
131,2015,14,-10.8,20150209,36.4,20150807,9.6,19.2,1016.4,756.9,45.5,20150626,59.1,2411.9,54.34,4825.14,1.4,270,1263.5,710.6
131,2016,13.9,-16.3,20160124,36.3,20160820,9.5,18.9,1016.4,938,153.6,20160704,58.9,2462,55.17,4878.35,1.5,270,1304.2,791.5
133,2014,13.4,-10.7,20140204,34.9,20140725,8.8,18.9,1016.8,1117.7,85.5,20140718,72.4,2378.3,53.42,5550.96,1.5,320,983.4,576.3
133,2015,14,-12.4,20150209,36.3,20150807,9.2,19.4,1016.7,822.7,66.9,20150626,70,2417.9,54.33,5658.3,1.5,320,1025.8,623.1
133,2016,14,-17,20160124,37.6,20160820,9.4,19.4,1016.8,1228.4,179.1,20160704,70,2440.1,54.7,5697.09,1.5,320,1190.3,772.7
135,2014,11.7,-12.6,20141219,35,20140531,6.5,17.3,1016.7,1136.4,83,20140818,66.2,2253.6,50.62,5294.76,2.6,270,,
135,2015,12.2,-12.1,20150209,34.8,20150807,7,17.7,1016.6,829,59.8,20150709,66.2,2315.2,52.01,5123.75,2.6,270,,
135,2016,12.4,-16.8,20160124,35.6,20160807,7.4,17.9,1016.6,1147.1,107.8,20160706,65.8,2309.2,51.77,5099.57,2.6,270,642.9,449.9
136,2014,12.5,-13.4,20141219,35.6,20140725,7.1,18.7,1016.4,960.4,95.5,20140924,63.1,2434.1,54.67,5338.67,1.6,290,1297.4,668.8
136,2015,12.9,-13.1,20150108,37.2,20150807,7.5,19,1016.3,755.1,62,20150808,63.8,2604,58.48,5296.9,1.7,290,1390,716.3
136,2016,13.2,-15.7,20160124,37.8,20160812,7.9,19.2,1016.4,934.4,84.8,20160917,64.4,2612.6,59.4,5186.38,1.7,290,1375.5,793.8
137,2014,12.7,-11.7,20141219,35.8,20140531,7.7,18.6,1016.5,1184.9,90.1,20140825,62.1,2325.5,52.24,,1.5,270,,
137,2015,13.7,-11.1,20150209,36.6,20150806,8.7,19.5,1016.4,800.3,50.3,20150626,61.8,2435.6,54.71,,1.5,270,,
137,2016,13.8,-15.1,20160124,37.2,20160808,9,19.6,1016.5,1136.2,91.6,20160917,62.5,2220.7,49.78,,1.5,270,,
138,2014,14.6,-8.3,20141218,36,20140724,10.9,18.7,1016.1,1338.2,90.9,20140818,64.6,2311.6,51.93,3601.41,2.7,320,1406.4,676.7
138,2015,14.8,-9.3,20150209,37.5,20150804,11.2,18.9,1016.1,919.5,83.4,20150825,65.4,2353.3,53.96,4074.85,2.7,250,1495.9,745.5
138,2016,15.2,-12.3,20160124,39.3,20160813,11.7,19.2,1016.1,1515.4,155.3,20161005,65,2353.1,52.75,4202.72,2.6,250,1374.4,729.3
140,2014,13,-8.8,20140113,35.3,20140731,8.9,18.1,1016.7,1141,117.3,20140825,81.6,2305.6,51.79,,2.1,250,,
140,2015,13.4,-9.1,20150103,34.7,20150807,9.4,18.1,1016.7,895.8,44,20150902,81.8,2307.2,51.83,,2.1,270,,
140,2016,13.8,-13.8,20160124,34.9,20160820,9.8,18.6,1016.7,1144.4,138.8,20160704,81.7,2351.7,52.72,,2.1,290,,
143,2014,14.9,-7.4,20141217,37.5,20140731,10.5,20.2,1017.1,1072.1,95,20140818,57.2,2428.4,54.55,5425.2,1.9,290,,
143,2015,14.8,-8.9,20150209,38.3,20150806,10.2,20.1,1016.3,908.5,79.5,20150709,64.6,2362,53.07,5299.98,2.1,290,,
143,2016,14.6,-13,20160124,38.1,20160813,10.1,19.8,1015.7,1227.3,113,20160917,63.7,2277.3,51.05,5026.89,2.1,290,700.6,489.8
146,2014,13.9,-9.7,20140114,36,20140731,9,19.8,1016.6,1206.8,81.5,20140818,67.8,2210.1,49.65,4698.98,1.4,160,1188.3,676.2
146,2015,14.2,-10.1,20150209,35.3,20150807,9.7,19.6,1016.5,813.5,43.5,20151001,69.7,2192.8,49.27,5199.76,1.6,140,1189,581.5
146,2016,14.3,-13,20160124,36.2,20160820,10.2,19.4,1016.5,1117.7,95.2,20160917,72.4,2170.1,48.64,5318.68,1.8,140,1322.2,748.9
152,2014,14.7,-6.5,20141219,34.9,20140724,10.6,19.7,1016.1,1398.7,211.6,20140818,64.5,2202.8,49.49,,2.2,320,,
152,2015,15,-8.2,20150209,36.8,20150804,10.8,19.8,1016.1,1044.6,59.2,20150901,64.9,2231.5,50.13,,2.2,320,,
152,2016,14.8,-11.4,20160124,35.7,20160813,10.8,19.4,1015.9,1693.9,266,20161005,69.9,2371.2,53.15,,2.1,340,,
155,2014,14.9,-6.1,20140204,35.2,20140731,11.1,19.6,1016.1,1525.8,246.5,20140825,62.1,2415.9,54.29,,1.8,50,,
155,2015,14.6,-7.8,20150209,35.5,20150809,10.8,19.4,1016.1,1110.7,77.5,20150712,65.5,2376.9,53.41,1230.97,1.7,50,,
155,2016,14.9,-12.6,20160124,36.7,20160731,11.1,19.6,1016,1893,160,20160917,67.2,2263.1,50.74,5517.15,1.6,50,662.3,463.7
156,2014,14.3,-7.3,20140110,36.5,20140731,10,19.7,1016.8,1290.3,120,20140817,64.9,2343.5,52.67,4834.08,1.9,50,,
156,2015,14.6,-8.7,20150209,36.2,20150807,10.4,19.8,1016.7,1049.6,56.4,20151001,69.2,2234.9,50.23,5094.26,1.6,50,,
156,2016,15,-11.7,20160124,37.2,20160812,10.9,20.1,1016.7,1482.3,122.9,20160917,71.9,2144.2,48.08,5270.62,1.6,50,624.4,437.3
159,2014,15.1,-6,20141217,32.9,20140731,12,19.2,1016,1693.1,129.5,20140818,66.3,2481.2,55.76,4995.08,3.2,50,1136.1,555.9
159,2015,15.4,-7.8,20150209,33.5,20150810,12.2,19.5,1016,1396.7,87.5,20150419,67.3,2534.8,56.96,5065.88,3.1,50,1170.3,575.3
159,2016,15.7,-10.2,20160124,37.3,20160814,12.5,19.8,1015.9,1760.2,119.4,20160917,66.1,2514.9,56.39,5038.75,3.1,50,1310.4,744.3
162,2014,14.7,-6.2,20140110,35.2,20140731,11.2,19,1016.2,1697.1,111.7,20140802,70.7,2311.8,51.95,,2.3,360,,
162,2015,14.8,-6.7,20150209,34.2,20150807,11.3,19.3,1016.3,1463.8,118.6,20150821,73.4,2315.5,52.03,,2.3,360,,
162,2016,15.3,-8.6,20160124,35.2,20160821,11.9,19.5,1016.3,1993.7,196.7,20160917,71,2246.2,50.37,,2.4,360,,
165,2014,13.9,-6.6,20140114,34.3,20140731,10.6,18.1,1016.6,1087.7,64.9,20141124,84.4,2202,49.49,4649.64,2.9,360,1115.9,637.6
165,2015,14.4,-6.1,20150201,35.5,20150807,11,18.6,1016.7,1041.6,62.8,20151001,79.8,2218.3,49.86,4331.3,3,360,1195.3,647.4
165,2016,14.8,-9.1,20160124,36,20160811,11.5,18.8,1016.8,1398,118.3,20160917,82.1,2157.8,48.39,4294.45,3.1,360,1119.4,667.5
168,2014,14.7,-6.3,20140204,32.8,20140710,11.9,18.1,1015.9,1575.3,223.6,20140802,59.5,2436.6,54.75,,3.9,90,1379.9,744.9
168,2015,14.9,-7.5,20150209,32.9,20150807,12.1,18.2,1016,1250.5,102.1,20150821,60.3,2450.1,55.05,,3.9,70,1394.1,685.4
168,2016,15.3,-8.9,20160124,34.4,20160815,12.5,18.6,1016,1616.6,180.9,20160917,62.4,2371.6,53.18,697.57,3.9,70,1409.1,682.4
169,2014,14.1,-2.7,20140204,31.1,20140805,11.9,17,1016.5,1186.7,72,20140427,76.4,2178.8,48.96,5174.95,5.2,360,,
169,2015,13.6,-4.3,20150208,32.4,20150729,11.3,16.7,1016.4,1085.8,93.9,20150625,80.6,2031.1,45.64,5057.78,4.9,340,,
169,2016,13.7,-8.7,20160124,31.6,20160809,11.3,16.9,1016.4,1183.1,136.1,20160917,86.2,1922.9,43.12,5103.33,5,360,557.8,390.4
170,2014,14.5,-7.5,20140110,33.4,20140731,10.6,19,1016.5,1862.6,130,20140802,69.1,2346.3,52.72,,3.1,320,,
170,2015,14.5,-5.4,20150201,33.1,20150809,10.9,18.9,1016.5,1638.5,102.5,20150428,75.2,2254.6,50.66,,2.8,140,,
170,2016,15.1,-8,20160124,35.6,20160812,11.6,19.2,1016.5,1608.4,124.8,20160917,80.4,2052.6,46.02,,2.5,250,,
172,2014,12.9,-12.2,20141219,34.5,20140731,8.3,18.2,1017.1,1291.1,189.5,20140818,79.3,2054.8,46.17,5140.17,2.5,320,,
172,2015,13.4,-13,20150103,35.6,20150807,8.8,18.7,1017,956.1,66.4,20151001,80.6,2025.7,46.14,5144.28,2.5,340,,
172,2016,14,-12.4,20160124,35.7,20160811,9.7,19.1,1016.9,1090.9,113.3,20160917,82,2063.5,46.27,5224.45,2.7,320,622.7,436.2
174,2014,12.6,-10.7,20140110,33.2,20140731,7.3,18.8,1016.2,1910.8,284.5,20140802,70.5,2096.7,47.12,,1.8,340,1028.4,609.4
174,2015,13.2,-9.3,20150209,35.4,20150730,8.1,19.3,1016.2,1331.5,166,20150712,70.7,2152.4,48.38,,1.7,340,335.7,
174,2016,13.9,-13.4,20160125,37.8,20160812,9,19.7,1016.1,1614.6,149.4,20160917,68.1,2082.9,46.7,,1.7,320,,
175,2014,11.8,-8.4,20140205,31.2,20140731,8.7,16.5,1016.1,1538,103,20140428,78.3,2226,50.03,,4.8,110,,
175,2015,11.7,-8.4,20150209,31.8,20150808,8.6,16.6,1016.3,1451.2,102,20150429,78.2,2280.7,51.25,,4.7,340,,
175,2016,12.4,-12.7,20160124,33.4,20160813,9.3,17,1016.3,1454,93.7,20160917,80,2033,45.59,,4.8,340,,
176,2014,14,-8.6,20141219,37.4,20140731,9.3,19.3,1015.7,1023,96.5,20140818,64.9,2094.4,47.15,4893.95,2.2,110,,
176,2015,,-9.4,20150209,34.3,20150526,,,,188.5,36,20150318,,1137,57.57,2457.4,,290,,
184,2014,16.2,0.1,20140205,35.2,20140725,13.6,19.1,1016.4,1563.4,134.7,20140706,70.3,1755.5,39.46,4695.68,3.2,20,1285.6,725.9
184,2015,16.7,-0.7,20150208,36.7,20150729,14.1,19.8,1016.5,1728.3,98.9,20150711,70.9,1826.6,41.06,4861.18,3,320,1209.7,659.8
184,2016,17,-5.8,20160124,35.5,20160728,14.4,20.2,1016.6,1416.4,158.5,20161005,71.9,1718.4,38.54,4743.41,3.1,20,1277.9,757.2
185,2014,15.5,-1.1,20140205,32.6,20140731,13,18.5,1016.2,1271.6,101.5,20140706,76.8,2130.1,47.89,4353.54,6.4,320,,
185,2015,15.6,-1.4,20150208,33.4,20150710,13.2,18.5,1016.4,1546.4,115.5,20150511,77.7,2075.3,46.65,4098.63,6.2,340,,
185,2016,16.2,-6.2,20160124,34,20160813,13.8,19.2,1016.4,1293.1,70.5,20160712,78.6,1911.3,42.96,3441.83,6.3,340,656.8,459.2
188,2014,15.6,-2.7,20141218,31.1,20140723,12.2,19.2,1015.9,2240.9,128.1,20140824,74.6,2059.1,46.29,,3.1,290,,
188,2015,15.7,-2.8,20150210,32.9,20150729,12.2,19.3,1016,2542.2,169.7,20150707,75.7,2105.6,47.33,,2.9,290,,
188,2016,16.3,-6.9,20160124,35.3,20160815,13.1,19.8,1016,2255.9,127.2,20161005,76.4,1915.7,42.97,,3,290,,
189,2014,17,-0.1,20141217,33.8,20140710,14,20.4,1015.5,2473.2,191,20140602,70.8,2292.5,51.54,,2.4,70,1169.7,673.8
189,2015,16.7,-0.8,20150208,31.5,20150626,13.9,20,1015.6,2618.1,220.5,20150511,72.6,2233.6,50.21,,2.1,50,145.8,
189,2016,17,-6.4,20160124,33.2,20160822,14.3,20.1,1015.6,2204.5,267.7,20161005,75.7,1976,44.32,,1.7,50,,
192,2014,13.2,-10.6,20140110,35.5,20140731,7.8,19.5,1016.4,1644.9,94.5,20140803,68.3,2401.8,53.98,5132.63,1.1,360,1103.6,648.4
