time,month,avg_decade
14.Jan,49,36
14.Feb,54,46
14.Mar,101,96
14.Apr,166,103
14.May,55,35
14.Jun,13,13
14.Jul,11,1
14.Aug,0,1
14.Sep,4,4
14.Oct,16,13
14.Nov,19,22
14.Dec,4,17
15.Jan,16,32
15.Feb,40,47
15.Mar,252,105
15.Apr,49,90
15.May,76,39
15.Jun,88,21
15.Jul,4,2
15.Aug,8,2
15.Sep,33,7
15.Oct,41,17
15.Nov,8,20
15.Dec,8,13
16.Jan,36,30
16.Feb,62,49
16.Mar,116,100
16.Apr,86,94
16.May,21,38
16.Jun,28,24
16.Jul,1,2
16.Aug,14,3
16.Sep,5,7
16.Oct,1,14
16.Nov,9,19
16.Dec,12,14